record,date,DATE2,WEIGHT,QS1,HIDWARD,area,QS2,QS3,HIDAGE1,Q1r1,Q1r2,Q2,Q11_Lr1r1,Q11_Lr1r2,Q11_Lr1r3,Q11_Lr1r4,Q11_Lr1r5,Q11_Lr1r6,Q11_Lr1r7,Q11_Lr1r8,Q11_Lr2r1,Q11_Lr2r2,Q11_Lr2r3,Q11_Lr2r4,Q11_Lr2r5,Q11_Lr2r6,Q11_Lr2r7,Q11_Lr2r8,Q11_Lr3r1,Q11_Lr3r2,Q11_Lr3r3,Q11_Lr3r4,Q11_Lr3r5,Q11_Lr3r6,Q11_Lr3r7,Q11_Lr3r8,Q11_Lr4r1,Q11_Lr4r2,Q11_Lr4r3,Q11_Lr4r4,Q11_Lr4r5,Q11_Lr4r6,Q11_Lr4r7,Q11_Lr4r8,Q11_Lr5r1,Q11_Lr5r2,Q11_Lr5r3,Q11_Lr5r4,Q11_Lr5r5,Q11_Lr5r6,Q11_Lr5r7,Q11_Lr5r8,Q11_Lr6r1,Q11_Lr6r2,Q11_Lr6r3,Q11_Lr6r4,Q11_Lr6r5,Q11_Lr6r6,Q11_Lr6r7,Q11_Lr6r8,Q11_Lr7r1,Q11_Lr7r2,Q11_Lr7r3,Q11_Lr7r4,Q11_Lr7r5,Q11_Lr7r6,Q11_Lr7r7,Q11_Lr7r8,Q11_Lr8r1,Q11_Lr8r2,Q11_Lr8r3,Q11_Lr8r4,Q11_Lr8r5,Q11_Lr8r6,Q11_Lr8r7,Q11_Lr8r8,Q11_Lr9r1,Q11_Lr9r2,Q11_Lr9r3,Q11_Lr9r4,Q11_Lr9r5,Q11_Lr9r6,Q11_Lr9r7,Q11_Lr9r8,Q12r1,Q12r2,Q12r3,Q12r4,Q12r5,Q12r6,Q12_R1,Q12r6oe,Q13r1,Q13r2,Q13r3,Q13r4,Q13r5,Q13r6,Q13r7,Q13r8,Q13r9,Q13r10,Q13r11,Q13_R1,Q13r10oe,QD1,QD1_R1,D1r5oe,QD2,QD3r1,noanswerD3_r99,QD4r1,noanswerD4_r99,QD5,QD6,vdecLang
151,10 11 2018 21 12,11,0.732199,M9V,Ward 1,Etobicoke,Woman,1987,31,Very concerned,Extremely concerned,Very informed,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Somewhat motivating,Verymotivating,Verymotivating, , ,,Toronto.ca website,NO TO  City of Toronto events,Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Prefer not to say,6,NO TO  How many people  including yourself  live in your household?  Prefer not to say,1,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,Prefer not to answer,English (USA)
152,10 11 2018 21 51,11,0.716708,m4g,Ward 33,Don Valley West,Woman,1993,25,Very concerned,Extremely concerned,Extremely informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,Twitter,NO TO  Facebook,Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,4,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,More than  150 000,English (USA)
153,10 11 2018 21 58,11,0.743604,M2N,Ward 29,Willowdale,Woman,1963,55,Very concerned,Very concerned,Very informed,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,I’m not interested in making this change,NO TO  Other, , , , , , , , ,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,More than  150 000,English (USA)
157,10 11 2018 23 53,11,0.629881,M6E,Ward 16, ,Man,1989,29,Very concerned,Extremely concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 60 001 to  80 000,English (USA)
159,10 12 2018 05 12,12,0.629881,M9C,Ward 3,Etobicoke,Man,1990,28,Not very concerned,Not very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating, , ,,Toronto.ca website,City of Toronto events,Twitter,Facebook,Instagram,City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree, 100 001 to  150 000,English (USA)
162,10 12 2018 09 13,12,0.924839,M4K,Ward 34,Toronto-Danforth,Woman,1961,57,Very concerned,Extremely concerned,Not very informed, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Somewhat motivating,Somewhat motivating,Not very motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree,Prefer not to answer,English (USA)
164,10 12 2018 09 54,12,0.629881,M8v,Ward 6,Etobicoke,Man,1988,30,Very concerned,Extremely concerned,Extremely informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Somewhat motivating,Verymotivating, , ,,NO TO  Toronto.ca website,City of Toronto events,NO TO  Twitter,Facebook,Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Rent,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,Under  40 000,English (USA)
165,10 12 2018 10 39,12,0.854153,m2m,Ward 29,Willowdale,Man,1911,107,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating, , ,,Toronto.ca website,City of Toronto events,Twitter,Facebook,Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Semi-detached house   duplex, ,,Own,3,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Some university, 80 001 to  100 000,English (USA)
166,10 12 2018 10 45,12,0.732199,m9m,Ward 7,Humber River-Black Creek,Woman,1988,30,Extremely concerned,Extremely concerned,Extremely informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own, ,How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 80 001 to  100 000,English (USA)
168,10 12 2018 11 08,12,0.795624,m5t,Ward 24,Spadina-Fort York,Man,1989,29,Not very concerned,Very concerned,Not very informed,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,Facebook,Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Semi-detached house   duplex, ,,Rent,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Some community college  vocational  trade school, 60 001 to  80 000,English (USA)
169,10 12 2018 11 14,12,0.677169,m1j,Ward 46,Scarborough,Man,1977,41,Extremely concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Not very motivating,Not very motivating,Verymotivating,Somewhat motivating, , ,,Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,4,NO TO  How many people  including yourself  live in your household?  Prefer not to say,2,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree, 40 001 to  60 000,English (USA)
170,10 12 2018 11 25,12,4.009976,m6l,Ward 12,York South-Weston,Woman,1999,19,Extremely concerned,Extremely concerned,Not very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , ,Verymotivating,Somewhat motivating,Verymotivating,Somewhat motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,Twitter,Facebook,Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,4,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Some community college  vocational  trade school,Under  40 000,English (USA)
173,10 12 2018 12 16,12,3.954946,M1S,Ward 42, ,Man,1997,21,Very concerned,Very concerned,Not very informed, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,I don’t know much about this it’s confusing,I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,Other,Verymotivating,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating,Verymotivating,Incentives  infrastructure and support to increase the use of sustainable transportation methods like cycling ,walking,Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Townhouse row house, ,,Own,4,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Some community college  vocational  trade school,Under  40 000,English (USA)
176,10 12 2018 16 59,12,0.732199,M9A,Ward 5,Etobicoke,Woman,1988,30,Not very concerned,Not very concerned,Not very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Not at all motivating,DK NA,n a,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Prefer not to say, ,,Prefer not to say, ,How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Prefer not to answer,Prefer not to answer,English (USA)
177,10 12 2018 17 08,12,0.656777,M9B,Ward 3, ,Man,1963,55,Not very concerned,Not very concerned,Very informed,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,I’m not interested in making this change,NO TO  Other, , , , , , , , ,Not very motivating,Somewhat motivating,Not very motivating,Not very motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree,More than  150 000,English (USA)
181,10 12 2018 20 48,12,0.732199,m6s,Ward 17,Parkdale-High Park,Woman,1986,32,Very concerned,Very concerned,Not very informed, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,Verymotivating,Verymotivating,Not very motivating,Not very motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 100 001 to  150 000,English (USA)
182,10 12 2018 21 49,12,0.759095,M6p,Ward 17,Parkdale-High Park,Woman,1961,57,Extremely concerned,Extremely concerned,Not very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Not very motivating,Not at all motivating,Not very motivating,Somewhat motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Some community college  vocational  trade school, 80 001 to  100 000,English (USA)
186,10 13 2018 17 59,13,0.897943,M4J,Ward 36, ,Woman,1988,30,Very concerned,Very concerned,Very informed,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating, , ,,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,Facebook,Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Rent,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 80 001 to  100 000,English (USA)
189,10 13 2018 18 08,13,0.716708,M2K,Ward 30,Don Valley North,Woman,1986,32,Extremely concerned,Extremely concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Not at all motivating,Not very motivating,Not very motivating,Not very motivating,Not very motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree, 40 001 to  60 000,English (USA)
